2026-02-11 02:07:59,601 [INFO] theta033_xy03_N301: progress: 10.26 %, estimated time: 7410.92 [sec]
2026-02-11 02:08:08,896 [INFO] theta033_xy03_N301: progress: 10.38 %, estimated time: 7403.36 [sec]
2026-02-11 02:08:17,740 [INFO] theta033_xy03_N301: progress: 10.49 %, estimated time: 7391.91 [sec]
2026-02-11 02:08:26,864 [INFO] theta033_xy03_N301: progress: 10.60 %, estimated time: 7382.87 [sec]
2026-02-11 02:08:36,211 [INFO] theta033_xy03_N301: progress: 10.71 %, estimated time: 7375.69 [sec]
2026-02-11 02:08:45,560 [INFO] theta033_xy03_N301: progress: 10.82 %, estimated time: 7368.50 [sec]
2026-02-11 02:08:54,520 [INFO] theta033_xy03_N301: progress: 10.93 %, estimated time: 7358.08 [sec]
2026-02-11 02:09:03,746 [INFO] theta033_xy03_N301: progress: 11.04 %, estimated time: 7349.83 [sec]
2026-02-11 02:09:12,469 [INFO] theta033_xy03_N301: progress: 11.15 %, estimated time: 7337.55 [sec]
2026-02-11 02:09:22,069 [INFO] theta033_xy03_N301: progress: 11.26 %, estimated time: 7332.26 [sec]
2026-02-11 02:09:31,667 [INFO] theta033_xy03_N301: progress: 11.37 %, estimated time: 7326.87 [sec]
2026-02-11 02:09:40,013 [INFO] theta033_xy03_N301: progress: 11.48 %, estimated time: 7311.75 [sec]
2026-02-11 02:09:49,449 [INFO] theta033_xy03_N301: progress: 11.59 %, estimated time: 7305.07 [sec]
2026-02-11 02:09:58,729 [INFO] theta033_xy03_N301: progress: 11.70 %, estimated time: 7297.16 [sec]
2026-02-11 02:10:07,425 [INFO] theta033_xy03_N301: progress: 11.81 %, estimated time: 7284.86 [sec]
2026-02-11 02:10:16,768 [INFO] theta033_xy03_N301: progress: 11.92 %, estimated time: 7277.41 [sec]
2026-02-11 02:10:25,867 [INFO] theta033_xy03_N301: progress: 12.03 %, estimated time: 7268.14 [sec]
2026-02-11 02:10:35,365 [INFO] theta033_xy03_N301: progress: 12.14 %, estimated time: 7261.76 [sec]
2026-02-11 02:10:44,164 [INFO] theta033_xy03_N301: progress: 12.25 %, estimated time: 7250.32 [sec]
2026-02-11 02:10:53,908 [INFO] theta033_xy03_N301: progress: 12.36 %, estimated time: 7245.63 [sec]
2026-02-11 02:11:02,714 [INFO] theta033_xy03_N301: progress: 12.47 %, estimated time: 7234.26 [sec]
2026-02-11 02:11:12,230 [INFO] theta033_xy03_N301: progress: 12.58 %, estimated time: 7227.87 [sec]
2026-02-11 02:11:21,525 [INFO] theta033_xy03_N301: progress: 12.69 %, estimated time: 7219.91 [sec]
2026-02-11 02:11:30,472 [INFO] theta033_xy03_N301: progress: 12.80 %, estimated time: 7209.55 [sec]
2026-02-11 02:11:39,725 [INFO] theta033_xy03_N301: progress: 12.91 %, estimated time: 7201.28 [sec]
2026-02-11 02:11:48,841 [INFO] theta033_xy03_N301: progress: 13.02 %, estimated time: 7192.08 [sec]
2026-02-11 02:11:58,064 [INFO] theta033_xy03_N301: progress: 13.13 %, estimated time: 7183.59 [sec]
2026-02-11 02:12:07,124 [INFO] theta033_xy03_N301: progress: 13.24 %, estimated time: 7174.02 [sec]
2026-02-11 02:12:16,406 [INFO] theta033_xy03_N301: progress: 13.36 %, estimated time: 7165.90 [sec]
2026-02-11 02:12:25,379 [INFO] theta033_xy03_N301: progress: 13.47 %, estimated time: 7155.77 [sec]
2026-02-11 02:12:34,881 [INFO] theta033_xy03_N301: progress: 13.58 %, estimated time: 7149.03 [sec]
2026-02-11 02:12:43,636 [INFO] theta033_xy03_N301: progress: 13.69 %, estimated time: 7137.53 [sec]
2026-02-11 02:12:52,850 [INFO] theta033_xy03_N301: progress: 13.80 %, estimated time: 7128.95 [sec]
2026-02-11 02:13:02,157 [INFO] theta033_xy03_N301: progress: 13.91 %, estimated time: 7120.93 [sec]
2026-02-11 02:13:11,632 [INFO] theta033_xy03_N301: progress: 14.02 %, estimated time: 7113.92 [sec]
2026-02-11 02:13:20,321 [INFO] theta033_xy03_N301: progress: 14.13 %, estimated time: 7102.10 [sec]
2026-02-11 02:13:29,549 [INFO] theta033_xy03_N301: progress: 14.24 %, estimated time: 7093.57 [sec]
2026-02-11 02:13:38,833 [INFO] theta033_xy03_N301: progress: 14.35 %, estimated time: 7085.36 [sec]
2026-02-11 02:13:48,174 [INFO] theta033_xy03_N301: progress: 14.46 %, estimated time: 7077.48 [sec]
2026-02-11 02:13:57,481 [INFO] theta033_xy03_N301: progress: 14.57 %, estimated time: 7069.37 [sec]
2026-02-11 02:14:06,539 [INFO] theta033_xy03_N301: progress: 14.68 %, estimated time: 7059.80 [sec]
2026-02-11 02:14:15,599 [INFO] theta033_xy03_N301: progress: 14.79 %, estimated time: 7050.24 [sec]
2026-02-11 02:14:24,528 [INFO] theta033_xy03_N301: progress: 14.90 %, estimated time: 7039.95 [sec]
2026-02-11 02:14:33,992 [INFO] theta033_xy03_N301: progress: 15.01 %, estimated time: 7032.71 [sec]
2026-02-11 02:14:42,754 [INFO] theta033_xy03_N301: progress: 15.12 %, estimated time: 7021.49 [sec]
2026-02-11 02:14:52,194 [INFO] theta033_xy03_N301: progress: 15.23 %, estimated time: 7014.08 [sec]
2026-02-11 02:15:01,262 [INFO] theta033_xy03_N301: progress: 15.34 %, estimated time: 7004.59 [sec]
2026-02-11 02:15:10,227 [INFO] theta033_xy03_N301: progress: 15.45 %, estimated time: 6994.54 [sec]
2026-02-11 02:15:19,422 [INFO] theta033_xy03_N301: progress: 15.56 %, estimated time: 6985.76 [sec]
2026-02-11 02:15:28,690 [INFO] theta033_xy03_N301: progress: 15.67 %, estimated time: 6977.36 [sec]
